experiment_id,timestamp,research_question,protocol,model,representation,train_batches,validation_batches,test_batches,seed,dataset_hash,split_hash,config_hash,git_commit,environment,status,metrics_artifact,model_artifact,notes
DRIFT-FIXED-B1-001,2026-08-10T02:52:32.675093+00:00,How does feature drift evolve from batch 1?,FIXED_ORIGIN,NONE,RAW_128D,1,,2-10,NOT_APPLICABLE,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,417dcd405cba12578e24dd1739efc7a98d1bfc302b3e5eaf77aedb227523ff21,c8fb6a612ee6f2949d41bbd0eee9a92d96724298e5097ddc8a076fda356bec23,c2e2d1a1fc0e20e3169d61f594e5938dffe9cb29,results/reproducibility/environment.json,COMPLETED,results/drift/feature_drift_by_batch.csv,,Univariate normalized Wasserstein and standardized mean shift; median aggregation.
BASE-FIXED-C1-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,FIXED_ORIGIN_B1,MODEL-C1,RAW_128D_STANDARDIZED,1,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\fixed_origin_metrics.csv,artifacts\models\BASE-FIXED-C1-001.joblib,Metrics recomputed from saved raw predictions.
BASE-FIXED-C2-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,FIXED_ORIGIN_B1,MODEL-C2,RAW_128D_STANDARDIZED,1,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\fixed_origin_metrics.csv,artifacts\models\BASE-FIXED-C2-001.joblib,Metrics recomputed from saved raw predictions.
BASE-FIXED-C3-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,FIXED_ORIGIN_B1,MODEL-C3,RAW_128D_STANDARDIZED,1,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\fixed_origin_metrics.csv,artifacts\models\BASE-FIXED-C3-001.joblib,Metrics recomputed from saved raw predictions.
BASE-FIXED-C4-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,FIXED_ORIGIN_B1,MODEL-C4,RAW_128D_STANDARDIZED,1,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\fixed_origin_metrics.csv,artifacts\models\BASE-FIXED-C4-001.joblib,Metrics recomputed from saved raw predictions.
BASE-EXPAND-C1-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,EXPANDING_WINDOW,MODEL-C1,RAW_128D_STANDARDIZED,HISTORICAL,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,8631b6da79d689963275aebe3f64a35bfa877f77eeaf91b39d2f4a005b9230f1,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\expanding_window_metrics.csv,,Metrics recomputed from saved raw predictions.
BASE-EXPAND-C2-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,EXPANDING_WINDOW,MODEL-C2,RAW_128D_STANDARDIZED,HISTORICAL,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,8631b6da79d689963275aebe3f64a35bfa877f77eeaf91b39d2f4a005b9230f1,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\expanding_window_metrics.csv,,Metrics recomputed from saved raw predictions.
BASE-EXPAND-C3-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,EXPANDING_WINDOW,MODEL-C3,RAW_128D_STANDARDIZED,HISTORICAL,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,8631b6da79d689963275aebe3f64a35bfa877f77eeaf91b39d2f4a005b9230f1,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\expanding_window_metrics.csv,,Metrics recomputed from saved raw predictions.
BASE-EXPAND-C4-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,EXPANDING_WINDOW,MODEL-C4,RAW_128D_STANDARDIZED,HISTORICAL,,2-10,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,8631b6da79d689963275aebe3f64a35bfa877f77eeaf91b39d2f4a005b9230f1,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\expanding_window_metrics.csv,,Metrics recomputed from saved raw predictions.
BASE-IID-C1-001,2026-08-10T03:18:11.025981+00:00,Classical temporal generalization and adaptation,IID_DIAGNOSTIC_ONLY,MODEL-C1,RAW_128D_STANDARDIZED,STRATIFIED_RANDOM,,20_PERCENT_RANDOM,42,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,88b0fbc27e9e52aa806677ac4fd292e97de98d48e4419bd4d20fd90b47ea14a3,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,results/reproducibility/environment.json,COMPLETED,results\baselines\iid_diagnostic_metrics.csv,,Metrics recomputed from saved raw predictions.
